QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,PRODUCTLINE,CUSTOMERNAME,COUNTRY
49,34.47,1,1689.03,06/01/2003,Shipped,1,Vintage Cars,Online Diecast Creations Co.,USA
50,67.8,2,3390.0,06/01/2003,Shipped,1,Vintage Cars,Online Diecast Creations Co.,USA
30,100.0,3,3000.0,06/01/2003,Shipped,1,Vintage Cars,Online Diecast Creations Co.,USA
22,86.51,4,1903.22,06/01/2003,Shipped,1,Vintage Cars,Online Diecast Creations Co.,USA
26,100.0,1,2600.0,09/01/2003,Shipped,1,Vintage Cars,"Blauer See Auto, Co.",Germany
46,53.76,2,2472.96,09/01/2003,Shipped,1,Vintage Cars,"Blauer See Auto, Co.",Germany
45,31.2,3,1404.0,09/01/2003,Shipped,1,Vintage Cars,"Blauer See Auto, Co.",Germany
25,100.0,4,2500.0,09/01/2003,Shipped,1,Vintage Cars,"Blauer See Auto, Co.",Germany
41,50.14,1,2055.74,10/01/2003,Shipped,1,Vintage Cars,Vitachrome Inc.,USA
39,100.0,2,3900.0,10/01/2003,Shipped,1,Vintage Cars,Vitachrome Inc.,USA
36,100.0,1,3600.0,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
22,54.09,2,1189.98,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
31,100.0,3,3100.0,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
42,100.0,4,4200.0,29/01/2003,Shipped,1,Classic Cars,Baane Mini Imports,Norway
36,100.0,5,3600.0,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
42,100.0,6,4200.0,29/01/2003,Shipped,1,Classic Cars,Baane Mini Imports,Norway
45,75.63,7,3403.35,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
27,100.0,8,2700.0,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
41,47.29,9,1938.89,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
35,100.0,10,3500.0,29/01/2003,Shipped,1,Trucks and Buses,Baane Mini Imports,Norway
26,100.0,11,2600.0,29/01/2003,Shipped,1,Classic Cars,Baane Mini Imports,Norway
27,83.07,12,2242.89,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
25,100.0,13,2500.0,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
35,57.46,14,2011.1,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
25,100.0,15,2500.0,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
46,100.0,16,4600.0,29/01/2003,Shipped,1,Vintage Cars,Baane Mini Imports,Norway
34,100.0,1,3400.0,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
32,53.31,2,1705.92,31/01/2003,Shipped,1,Trains,Euro Shopping Channel,Spain
38,100.0,3,3800.0,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
49,65.87,4,3227.63,31/01/2003,Shipped,1,Trains,Euro Shopping Channel,Spain
26,100.0,5,2600.0,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
35,55.49,6,1942.15,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
33,100.0,7,3300.0,31/01/2003,Shipped,1,Trucks and Buses,Euro Shopping Channel,Spain
24,100.0,8,2400.0,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
41,100.0,9,4100.0,31/01/2003,Shipped,1,Trucks and Buses,Euro Shopping Channel,Spain
44,39.6,10,1742.4,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
35,47.62,11,1666.7,31/01/2003,Shipped,1,Trucks and Buses,Euro Shopping Channel,Spain
29,100.0,12,2900.0,31/01/2003,Shipped,1,Trucks and Buses,Euro Shopping Channel,Spain
23,100.0,13,2300.0,31/01/2003,Shipped,1,Classic Cars,Euro Shopping Channel,Spain
50,79.67,1,3983.5,11/02/2003,Shipped,1,Vintage Cars,Danish Wholesale Imports,Denmark
50,100.0,2,5000.0,11/02/2003,Shipped,1,Classic Cars,Danish Wholesale Imports,Denmark
31,65.77,3,2038.87,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
44,72.58,4,3193.52,11/02/2003,Shipped,1,Vintage Cars,Danish Wholesale Imports,Denmark
41,70.67,5,2897.47,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
39,81.14,6,3164.46,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
22,100.0,7,2200.0,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
25,56.78,8,1419.5,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
43,100.0,9,4300.0,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
41,82.5,10,3382.5,11/02/2003,Shipped,1,Vintage Cars,Danish Wholesale Imports,Denmark
22,100.0,11,2200.0,11/02/2003,Shipped,1,Vintage Cars,Danish Wholesale Imports,Denmark
29,70.15,12,2034.35,11/02/2003,Shipped,1,Ships,Danish Wholesale Imports,Denmark
38,100.0,13,3800.0,11/02/2003,Shipped,1,Trains,Danish Wholesale Imports,Denmark
29,100.0,14,2900.0,11/02/2003,Shipped,1,Classic Cars,Danish Wholesale Imports,Denmark
41,100.0,15,4100.0,11/02/2003,Shipped,1,Classic Cars,Danish Wholesale Imports,Denmark
32,100.0,1,3200.0,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
34,90.39,2,3073.26,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
26,63.76,3,1657.76,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
28,88.63,4,2481.64,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
33,72.92,5,2406.36,17/02/2003,Shipped,1,Vintage Cars,Rovelli Gifts,Italy
39,40.15,6,1565.85,17/02/2003,Shipped,1,Vintage Cars,Rovelli Gifts,Italy
31,100.0,7,3100.0,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
44,74.4,8,3273.6,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
34,100.0,9,3400.0,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
48,61.44,10,2949.12,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
50,64.83,11,3241.5,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
36,100.0,12,3600.0,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
49,74.68,13,3659.32,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
31,52.6,14,1630.6,17/02/2003,Shipped,1,Vintage Cars,Rovelli Gifts,Italy
48,52.64,15,2526.72,17/02/2003,Shipped,1,Planes,Rovelli Gifts,Italy
30,100.0,16,3000.0,17/02/2003,Shipped,1,Ships,Rovelli Gifts,Italy
41,100.0,17,4100.0,17/02/2003,Shipped,1,Vintage Cars,Rovelli Gifts,Italy
41,83.44,18,3421.04,17/02/2003,Shipped,1,Ships,Rovelli Gifts,Italy
21,100.0,1,2100.0,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
30,95.7,2,2871.0,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
25,100.0,3,2500.0,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
27,100.0,4,2700.0,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
39,99.91,5,3896.49,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
29,70.87,6,2055.23,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
38,83.03,7,3155.14,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
20,92.9,8,1858.0,24/02/2003,Shipped,1,Motorcycles,Land of Toys Inc.,USA
40,100.0,1,4000.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
38,82.39,2,3130.82,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
36,100.0,3,3600.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
45,100.0,4,4500.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
30,63.07,5,1892.1,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
33,100.0,6,3300.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
39,89.38,7,3485.82,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
29,100.0,8,2900.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
26,68.35,9,1777.1,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
31,68.71,10,2130.01,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
44,100.0,11,4400.0,03/03/2003,Shipped,1,Classic Cars,Cruz & Sons Co.,Philippines
43,67.77,12,2914.11,03/03/2003,Shipped,1,Motorcycles,Cruz & Sons Co.,Philippines
27,43.45,13,1173.15,03/03/2003,Shipped,1,Motorcycles,Cruz & Sons Co.,Philippines
34,82.99,14,2821.66,03/03/2003,Shipped,1,Motorcycles,Cruz & Sons Co.,Philippines
35,58.87,15,2060.45,03/03/2003,Shipped,1,Motorcycles,Cruz & Sons Co.,Philippines
31,100.0,16,3100.0,03/03/2003,Shipped,1,Motorcycles,Cruz & Sons Co.,Philippines
26,100.0,1,2600.0,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
47,100.0,2,4700.0,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
38,100.0,3,3800.0,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
26,100.0,4,2600.0,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
46,100.0,5,4600.0,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
29,32.1,6,930.9,10/03/2003,Shipped,1,Classic Cars,Motor Mint Distributors Inc.,USA
31,100.0,1,3100.0,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
39,44.35,2,1729.65,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
20,35.51,3,710.2,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
33,100.0,4,3300.0,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
48,34.47,5,1654.56,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
32,50.25,6,1608.0,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
42,100.0,7,4200.0,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
28,89.27,8,2499.56,18/03/2003,Shipped,1,Vintage Cars,"AV Stores, Co.",UK
42,61.29,9,2574.18,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
46,100.0,10,4600.0,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
43,78.15,11,3360.45,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
27,73.62,12,1987.74,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
36,85.25,13,3069.0,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
37,100.0,14,3700.0,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
29,59.37,15,1721.73,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
37,100.0,16,3700.0,18/03/2003,Shipped,1,Classic Cars,"AV Stores, Co.",UK
29,100.0,1,2900.0,24/03/2003,Shipped,1,Classic Cars,"Volvo Model Replicas, Co",Sweden
23,100.0,2,2300.0,24/03/2003,Shipped,1,Vintage Cars,"Volvo Model Replicas, Co",Sweden
43,100.0,1,4300.0,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
28,64.33,2,1801.24,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
26,86.68,3,2253.68,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
39,100.0,4,3900.0,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
48,49.06,5,2354.88,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
33,99.66,6,3288.78,25/03/2003,Shipped,1,Vintage Cars,Mini Wheels Co.,USA
23,68.52,1,1575.96,26/03/2003,Shipped,1,Trucks and Buses,Mini Gifts Distributors Ltd.,USA
21,100.0,2,2100.0,26/03/2003,Shipped,1,Trucks and Buses,Mini Gifts Distributors Ltd.,USA
50,49.81,3,2490.5,26/03/2003,Shipped,1,Vintage Cars,Mini Gifts Distributors Ltd.,USA
49,100.0,4,4900.0,26/03/2003,Shipped,1,Trucks and Buses,Mini Gifts Distributors Ltd.,USA
24,30.06,1,721.44,01/04/2003,Shipped,2,Classic Cars,"La Corne D'abondance, Co.",France
28,55.73,2,1560.44,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
39,100.0,3,3900.0,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
48,100.0,4,4800.0,01/04/2003,Shipped,2,Classic Cars,"La Corne D'abondance, Co.",France
21,100.0,5,2100.0,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
45,68.67,6,3090.15,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
32,100.0,7,3200.0,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
31,100.0,8,3100.0,01/04/2003,Shipped,2,Classic Cars,"La Corne D'abondance, Co.",France
41,100.0,9,4100.0,01/04/2003,Shipped,2,Trucks and Buses,"La Corne D'abondance, Co.",France
42,100.0,10,4200.0,01/04/2003,Shipped,2,Classic Cars,"La Corne D'abondance, Co.",France
44,100.0,1,4400.0,04/04/2003,Shipped,2,Classic Cars,Classic Legends Inc.,USA
47,69.36,2,3259.92,04/04/2003,Shipped,2,Classic Cars,Classic Legends Inc.,USA
27,100.0,3,2700.0,04/04/2003,Shipped,2,Trucks and Buses,Classic Legends Inc.,USA
46,100.0,4,4600.0,04/04/2003,Shipped,2,Classic Cars,Classic Legends Inc.,USA
46,100.0,5,4600.0,04/04/2003,Shipped,2,Trucks and Buses,Classic Legends Inc.,USA
27,63.38,1,1711.26,11/04/2003,Shipped,2,Trains,Royale Belge,Belgium
45,83.42,1,3753.9,16/04/2003,Shipped,2,Ships,"Dragon Souveniers, Ltd.",Singapore
50,43.68,2,2184.0,16/04/2003,Shipped,2,Ships,"Dragon Souveniers, Ltd.",Singapore
41,100.0,3,4100.0,16/04/2003,Shipped,2,Ships,"Dragon Souveniers, Ltd.",Singapore
23,97.42,4,2240.66,16/04/2003,Shipped,2,Vintage Cars,"Dragon Souveniers, Ltd.",Singapore
26,100.0,5,2600.0,16/04/2003,Shipped,2,Vintage Cars,"Dragon Souveniers, Ltd.",Singapore
38,79.68,6,3027.84,16/04/2003,Shipped,2,Ships,"Dragon Souveniers, Ltd.",Singapore
21,95.8,7,2011.8,16/04/2003,Shipped,2,Trains,"Dragon Souveniers, Ltd.",Singapore
39,100.0,8,3900.0,16/04/2003,Shipped,2,Classic Cars,"Dragon Souveniers, Ltd.",Singapore
33,100.0,9,3300.0,16/04/2003,Shipped,2,Classic Cars,"Dragon Souveniers, Ltd.",Singapore
43,100.0,10,4300.0,16/04/2003,Shipped,2,Classic Cars,"Dragon Souveniers, Ltd.",Singapore
21,49.21,11,1033.41,16/04/2003,Shipped,2,Trains,"Dragon Souveniers, Ltd.",Singapore
22,100.0,12,2200.0,16/04/2003,Shipped,2,Classic Cars,"Dragon Souveniers, Ltd.",Singapore
36,100.0,1,3600.0,21/04/2003,Shipped,2,Ships,Enaco Distributors,Spain
26,59.22,1,1539.72,28/04/2003,Shipped,2,Planes,Salzburg Collectables,Austria
28,70.29,2,1968.12,28/04/2003,Shipped,2,Planes,Salzburg Collectables,Austria
43,100.0,3,4300.0,28/04/2003,Shipped,2,Planes,Salzburg Collectables,Austria
41,59.6,4,2443.6,28/04/2003,Shipped,2,Planes,Salzburg Collectables,Austria
20,72.98,5,1459.6,28/04/2003,Shipped,2,Vintage Cars,Salzburg Collectables,Austria
28,48.17,6,1348.76,28/04/2003,Shipped,2,Planes,Salzburg Collectables,Austria
29,94.14,7,2730.06,28/04/2003,Shipped,2,Ships,Salzburg Collectables,Austria
27,99.52,8,2687.04,28/04/2003,Shipped,2,Vintage Cars,Salzburg Collectables,Austria
21,89.46,9,1878.66,28/04/2003,Shipped,2,Ships,Salzburg Collectables,Austria
35,90.57,10,3169.95,28/04/2003,Shipped,2,Vintage Cars,Salzburg Collectables,Austria
46,100.0,11,4600.0,28/04/2003,Shipped,2,Classic Cars,Salzburg Collectables,Austria
38,65.77,12,2499.26,28/04/2003,Shipped,2,Ships,Salzburg Collectables,Austria
35,87.62,13,3066.7,28/04/2003,Shipped,2,Vintage Cars,Salzburg Collectables,Austria
25,76.67,14,1916.75,28/04/2003,Shipped,2,Ships,Salzburg Collectables,Austria
35,98.05,1,3431.75,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
46,100.0,2,4600.0,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
29,96.34,3,2793.86,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
46,58.15,4,2674.9,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
34,83.79,5,2848.86,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
22,100.0,6,2200.0,29/04/2003,Shipped,2,Motorcycles,"Australian Collectors, Co.",Australia
24,100.0,7,2400.0,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
29,71.81,8,2082.49,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
29,85.49,9,2479.21,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
